icao24,callsign,origin_country,time_position,last_contact,lon,lat,alt,on_ground,velocity,heading,vertical_rate,sensors,alt.1,squawk,spi,position_source
010154,MSR959  ,Egypt,1775071754.0,1775071754,88.0683,22.7016,9144.0,False,226.92,274.03,0.0,,9585.96,2466.0,False,0
040066,ETH607  ,Ethiopia,1775071754.0,1775071754,99.7098,14.1494,9364.98,False,255.05,253.36,6.5,,9913.62,,False,0
040125,ETH688  ,Ethiopia,1775071753.0,1775071753,77.0348,28.5573,457.2,False,76.74,103.57,-4.23,,403.86,,False,0
04018f,ETH609  ,Ethiopia,1775073923.0,1775073930,99.5536,13.6922,6431.28,False,241.03,259.05,7.15,,6819.9,,False,0
04c045,KQA202  ,Kenya,1775071751.0,1775071751,72.6964,18.8445,4152.9,False,156.49,79.39,-8.78,,4335.78,,False,0
05a054,DQA502  ,Maldives,1775074026.0,1775074026,75.9389,7.3203,10058.4,False,248.58,38.53,0.0,,10622.28,,False,0
05a054,DQA502  ,Maldives,1775074079.0,1775074080,76.0142,7.4145,10058.4,False,248.18,38.6,0.0,,10622.28,,False,0
05a0af,,Maldives,1775073926.0,1775073931,96.7107,22.87,11582.4,False,204.64,263.21,0.0,,12184.38,,False,0
06a052,QTR22X  ,Qatar,1775071754.0,1775071754,76.3449,10.173,8839.2,False,264.02,129.15,0.0,,9311.64,,False,0
06a070,QTR90C  ,Qatar,1775071751.0,1775071752,74.724,16.8091,10058.4,False,268.78,122.02,0.0,,10584.18,,False,0
06a0fe,QTR2V   ,Qatar,1775071754.0,1775071754,85.4859,22.992,10965.18,False,300.45,89.51,-4.88,,11468.1,2137.0,False,0
06a103,QTR16K  ,Qatar,1775071754.0,1775071754,75.2217,28.2573,7231.38,False,217.77,92.17,-13.98,,7505.7,,False,0
06a124,QTR572  ,Qatar,1775074026.0,1775074026,76.6284,13.5104,4937.76,False,188.99,118.45,-5.53,,5135.88,,False,0
06a124,QTR572  ,Qatar,1775074080.0,1775074080,76.7037,13.4707,4701.54,False,157.21,118.33,-0.98,,4876.8,,False,0
06a12e,QTR93W  ,Qatar,1775074025.0,1775074025,70.9941,19.0112,10469.88,False,286.12,93.71,-7.8,,10949.94,,False,0
06a12e,QTR93W  ,Qatar,1775074079.0,1775074079,71.1389,19.0025,9921.24,False,282.49,93.65,-10.4,,10370.82,,False,0
06a140,QTR8036 ,Qatar,1775074025.0,1775074025,79.26,12.9181,4495.8,False,199.84,92.8,-7.48,,4671.06,,False,0
06a140,QTR8036 ,Qatar,1775074079.0,1775074079,79.3588,12.9126,4061.46,False,194.28,93.34,-7.48,,4221.48,,False,0
06a1e6,QTR8047 ,Qatar,1775071741.0,1775071741,88.7657,16.3571,9753.6,False,238.69,284.1,0.0,,10302.24,,False,0
06a2fc,QTR6N   ,Qatar,1775074026.0,1775074026,77.489,13.2264,10668.0,False,267.44,94.86,-0.33,,11262.36,,False,0
06a2fc,QTR6N   ,Qatar,1775074080.0,1775074080,77.6213,13.2154,10660.38,False,266.42,94.87,-0.33,,11254.74,,False,0
151d48,AZV2937 ,Russian Federation,1775073967.0,1775074022,74.9016,31.0401,10668.0,False,238.72,136.57,-0.33,,10965.18,,False,0
151d76,AZV2528 ,Russian Federation,1775071754.0,1775071754,97.9059,14.6319,9753.6,False,12.44,7.13,0.0,,8793.48,,False,0
151d76,AZV2528 ,Russian Federation,1775074025.0,1775074025,91.2255,19.4812,9753.6,False,224.3,307.26,-0.33,,10233.66,5522.0,False,0
151d76,AZV2528 ,Russian Federation,1775074064.0,1775074078,91.1606,19.5282,9753.6,False,223.89,307.34,0.0,,10233.66,5522.0,False,0
3474cd,WFL8621 ,Spain,1775074024.0,1775074025,73.5126,27.8884,11887.2,False,254.05,117.76,0.0,,12260.58,,False,0
3474cd,WFL8621 ,Spain,1775074078.0,1775074079,73.6332,27.8319,11887.2,False,252.92,118.02,-0.33,,12260.58,,False,0
3949ee,AFR182  ,France,1775071726.0,1775071728,78.1844,25.6656,10660.38,False,258.09,118.71,0.0,,11125.2,,False,0
3965aa,AFR257  ,France,1775071754.0,1775071754,77.8716,27.6655,9753.6,False,239.04,307.83,0.0,,10134.6,113.0,False,0
