icao24,callsign,origin_country,time_position,last_contact,lon,lat,alt,on_ground,velocity,heading,vertical_rate,sensors,alt,squawk,spi,position_source
801632,AKJ1985 ,India,1775071754.0,1775071754,77.4214,13.2589,2202.18,False,130.12,158.91,-6.83,,2232.66,,False,0
801686,AXB712  ,India,1775071711.0,1775071711,72.585,16.4945,10058.4,False,242.01,129.31,0.33,,10576.56,,False,0
801681,AXB1121 ,India,1775071754.0,1775071754,87.2438,26.1642,9753.6,False,200.04,276.94,0.33,,10142.22,0470,False,0
80164f,AIC4FB  ,India,1775071752.0,1775071752,85.2591,24.2174,9144.0,False,212.74,300.04,0.0,,9563.1,2645,False,0
801662,IGO207W ,India,1775071753.0,1775071753,76.7591,28.4917,1249.68,False,110.05,284.62,-3.58,,1242.06,,False,0
801669,IGO6436 ,India,1775071754.0,1775071754,77.3558,27.3677,4312.92,False,193.85,352.99,-4.88,,4465.32,,False,0
801674,,India,1775071753.0,1775071753,74.8292,25.7305,11285.22,False,257.1,23.59,0.0,,11727.18,,False,0
80169d,IGO154E ,India,1775071754.0,1775071754,77.2181,26.0691,9753.6,False,240.9,358.04,-0.98,,10165.08,,False,0
885221,THA935  ,Thailand,1775071751.0,1775071751,80.1444,26.0498,12489.18,False,264.17,128.83,0.0,,12969.24,,False,0
885223,THA934  ,Thailand,1775071754.0,1775071754,88.769,21.1905,10972.8,False,228.86,303.73,-0.33,,11544.3,0734,False,0
8014dd,AIC314  ,India,1775071754.0,1775071755,91.2851,23.8806,10066.02,False,281.51,102.13,0.0,,10538.46,0564,False,0
8014ed,AIC6AK  ,India,1775071754.0,1775071754,77.1624,13.8653,6781.8,False,197.92,156.57,-12.68,,7124.7,,False,0
8014bb,IGO58AY ,India,1775071754.0,1775071755,76.9243,28.5808,822.96,False,88.34,103.47,0.0,,784.86,,False,0
8014bd,IGO6156 ,India,1775071754.0,1775071754,73.1643,19.0873,1706.88,False,119.41,296.34,-5.53,,1714.5,,False,0
8014fd,AKJ1135 ,India,1775071752.0,1775071753,74.1978,19.796,8382.0,False,237.05,69.28,5.85,,8785.86,,False,0
801612,AIC105  ,India,1775071751.0,1775071752,75.5381,26.2241,10607.04,False,223.7,220.43,1.63,,11003.28,,False,0
885282,THA911  ,Thailand,1775071753.0,1775071754,75.7674,29.0874,11277.6,False,264.94,126.87,0.0,,11643.36,,False,0
801772,IGO6363 ,India,1775071753.0,1775071753,73.241,18.4827,4008.12,False,169.89,337.01,-2.93,,4160.52,,False,0
800446,BDA304  ,India,1775071732.0,1775071732,77.8493,13.4129,3253.74,False,157.05,5.26,5.85,,3246.12,,False,0
801741,IGO6261 ,India,1775071754.0,1775071754,75.3328,26.1871,9144.0,False,217.64,214.89,0.0,,9532.62,,False,0
801745,IGO1090 ,India,1775071753.0,1775071753,74.7187,19.5894,8763.0,False,231.68,275.86,-5.2,,9227.82,,False,0
8852e4,THA941  ,Thailand,1775071707.0,1775071751,78.7542,25.3842,11277.6,False,274.43,118.68,0.33,,11765.28,,False,0
8852e3,THA940  ,Thailand,1775071754.0,1775071754,91.3089,19.4233,10363.2,False,237.07,307.42,0.0,,10942.32,6107,False,0
801798,IGO240M ,India,1775071712.0,1775071714,77.5339,13.2084,1729.74,False,92.6,90.32,-4.88,,1722.12,,False,0
8016b6,VTJSJ   ,India,1775071753.0,1775071753,75.0803,20.1,12085.32,False,287.58,69.04,8.45,,12618.72,,False,0
8015d3,IGO342H ,India,1775071754.0,1775071754,73.9434,18.2577,6042.66,False,194.27,174.68,14.63,,6309.36,,False,0
8015a4,IGO46E  ,India,1775071753.0,1775071753,72.3376,16.573,10965.18,False,221.07,302.36,0.0,,11544.3,,False,0
885310,THA331  ,Thailand,1775071710.0,1775071735,83.9805,24.5846,11582.4,False,200.32,310.52,0.0,,12123.42,6137,False,0
885307,THA339  ,Thailand,1775071754.0,1775071754,90.3259,23.9343,601.98,False,78.35,145.16,-3.58,,609.6,0744,False,0
885308,THA310  ,Thailand,1775071754.0,1775071754,89.9957,24.0308,11277.6,False,277.8,118.18,0.33,,11833.86,2510,False,0
8015e3,IGO1057 ,India,1775071754.0,1775071754,95.6073,16.3947,11269.98,False,239.97,117.17,0.0,,11940.54,,False,0
3c4ada,DLH781  ,Germany,1775071754.0,1775071754,84.8002,21.0418,9753.6,False,230.54,309.66,0.0,,10210.8,2244,False,0
885313,THA351  ,Thailand,1775071753.0,1775071753,75.7671,19.4852,11590.02,False,210.03,276.05,0.33,,12237.72,,False,0
44007c,AUA8    ,Austria,1775071746.0,1775071750,84.9305,23.2411,9753.6,False,223.45,290.06,-0.33,,10226.04,0317,False,0
801864,IGO561K ,India,1775071754.0,1775071754,75.5398,27.3046,9403.08,False,246.4,26.67,-12.03,,9799.32,,False,0
80185f,IGO192P ,India,1775071754.0,1775071754,77.3448,13.4534,2781.3,False,159.16,156.17,-7.15,,2857.5,,False,0
8017a0,IGO1049 ,India,1775071754.0,1775071754,72.8298,19.3205,3436.62,False,190.37,72.54,10.4,,3459.48,,False,0
8016af,AXB2660 ,India,1775071752.0,1775071754,74.0573,17.8333,7383.78,False,203.88,157.45,9.43,,7734.3,,False,0
8016ba,IGO1612 ,India,1775071754.0,1775071754,77.8227,26.9132,8671.56,False,218.52,324.78,-5.2,,9022.08,,False,0
8016d3,IGO119  ,India,1775071751.0,1775071751,73.8007,18.5956,2209.8,False,116.88,306.77,12.03,,2255.52,,False,0
896196,UAE381  ,United Arab Emirates,1775071675.0,1775071694,93.6607,22.133,10972.8,False,221.35,274.4,0.0,,11536.68,,False,0
80180b,IGO374F ,India,1775071754.0,1775071754,88.151,23.0069,1889.76,False,168.99,118.75,-3.9,,1920.24,0527,False,0
801823,IGO626W ,India,1775071749.0,1775071749,72.8806,19.0889,68.58,False,72.54,269.19,-3.25,,22.86,,False,0
801824,IGO949  ,India,1775071655.0,1775071667,77.6085,13.2078,1325.88,False,70.49,90.84,-3.25,,1287.78,,False,0
8a0537,GIA991  ,Indonesia,1775071754.0,1775071754,77.5639,7.8338,10668.0,False,245.52,112.16,0.0,,11262.36,,False,0
4bb1c7,THY173  ,Turkey,1775071673.0,1775071694,77.335,24.6659,10972.8,False,220.67,300.39,0.33,,11422.38,,False,0
896218,UAE367  ,United Arab Emirates,1775071754.0,1775071754,90.5646,22.5311,9144.0,False,226.1,272.74,0.0,,9578.34,2614,False,0
8004fb,BDA201  ,India,1775071651.0,1775071651,77.083,28.547,251.46,False,71.99,103.64,-3.58,,198.12,2634,False,0
4bb1a3,THY208  ,Turkey,1775071747.0,1775071747,74.5567,31.365,11269.98,False,255.39,130.59,-0.33,,11605.26,,False,0
780a66,CPA663  ,China,1775071753.0,1775071754,75.6992,19.8837,10363.2,False,216.48,255.83,0.0,,10881.36,,False,0
896383,ABY587  ,United Arab Emirates,1775071567.0,1775071754,75.3746,10.9536,11277.6,False,225.07,129.62,-0.33,,11902.44,,False,0
780a82,CPA640  ,China,1775071622.0,1775071622,96.5171,23.3405,11277.6,False,281.99,88.64,0.0,,11841.48,2502,False,0
4bb0f9,THY69   ,Turkey,1775071754.0,1775071754,80.0127,27.5798,10972.8,False,231.2,317.43,0.0,,11361.42,0726,False,0
4bb0f3,THY45M  ,Turkey,1775071754.0,1775071754,74.3731,26.4629,11887.2,False,275.33,118.58,0.0,,12275.82,,False,0
4bb0ec,THY163  ,Turkey,1775071754.0,1775071754,80.9496,26.7361,10972.8,False,219.38,299.81,0.33,,11353.8,5663,False,0
4bb0fa,THY39V  ,Turkey,1775071754.0,1775071754,82.6468,24.2965,11582.4,False,217.84,307.71,0.33,,12054.84,2124,False,0
896304,UAE542  ,United Arab Emirates,1775071578.0,1775071578,72.9233,16.6729,10668.0,False,269.16,114.26,0.0,,11224.26,,False,0
4bb0e1,THY58   ,Turkey,1775071754.0,1775071754,82.6268,25.6605,11887.2,False,271.39,134.23,0.0,,12352.02,,False,0
4bb0e2,THY067  ,Turkey,1775071754.0,1775071754,82.406,25.7602,11582.4,False,219.16,306.6,0.0,,12047.22,4137,False,0
780a13,HKC9458 ,China,1775071754.0,1775071754,81.8456,26.5063,11887.2,False,274.9,106.64,0.0,,12397.74,,False,0
780a1c,CPA037  ,China,1775071754.0,1775071754,87.5326,24.8918,10363.2,False,209.77,294.18,0.33,,10820.4,5164,False,0
780a2b,CPA698  ,China,1775071754.0,1775071754,92.706,23.5928,10668.0,False,292.89,100.93,0.0,,11163.3,0543,False,0
800737,AIC312  ,India,1775071754.0,1775071754,78.8098,27.6605,8724.9,False,260.72,115.35,7.15,,9067.8,,False,0
8830f7,TLM242  ,Thailand,1775071754.0,1775071754,88.7966,21.7556,8420.1,False,207.9,335.59,-15.93,,8907.78,0731,False,0
